objectPath,objectName,objectType,id
/Explore/Default/Informatica_Mappings,Mapping2,DTEMPLATE,9MDdty08VQ2bhs6DijJFu9
/Explore/Default/Informatica_Mappings,Heartrate_monitoring_using_expression,DTEMPLATE,4iGIKlcWNFok83RLzafbkY
/Explore/Default/Informatica_Mappings,Lookup_Dr_unique_id_with_Active_status,DTEMPLATE,aLfwZ7DN4wNcVFJCRMgXyM
/Explore,Default,Project,c7dPMq1FJUScaM70Pp6iOT
/Explore/Default/Informatica_Mappings,MappingTask_LookUp,MTT,5fexzonjQACiCVtMT13M23
/Explore/Default,Informatica_Mappings,Folder,5XNyf8UkR3xjqPaC7SUIQm
/SYS,ORACLE_TARGET,Connection,1t51p2AeGdfelNEnY71K2e
/Explore/Default/Informatica_Mappings,Taskflow1,TASKFLOW,3j0GYtpuWM8j5af45RZLmK
/Explore/Default/Informatica_Mappings,MappingTask_Seq_generator,MTT,jpXAEUbdNwGkZdZMcOyOG1
/Explore/Default/Informatica_Mappings,Filter_transmission_Dr_Status,DTEMPLATE,4rxP0FNgRg7ceE3DskwsqV
/SYS,Thendral,AgentGroup,5UPPPlnyuk3dNOlOYwUscN
/SYS,FLATFILE_STAGE,Connection,4LgUtXqcVKDcVoTGOYcP8d
/SYS,ORACLE_SOURCE,Connection,0ZRtGQs2zfvlPquTJYU3Ug
/Explore/Default/Informatica_Mappings,Seq_Generator,DTEMPLATE,25b4yMimpQqbn9waarh243
/Explore/Default/Informatica_Mappings,Error_Handling_Using_Notification,TASKFLOW,6U18WkeO225irSwTFt4j0Q
/Explore/Default/Informatica_Mappings,Taskflow2,TASKFLOW,09C8mMxGJkQia3wBxOk8QW
/Explore/Default/Informatica_Mappings,Mapping3,DTEMPLATE,aQlJU7RnC12e4DmlPPTxUE
/Explore/Default/Informatica_Mappings,MappingTask_SEQ_GENERATOR_2,MTT,eYpWcAzKQmedMSM14hVKiN
/Explore/Default/Informatica_Mappings,MappingTask,MTT,ae8Nh1toHYnfztv31UPT8T
/SYS,ORACLE_STAGE,Connection,aquQEZBe8FqdDPTMcmBfKs
/SYS,SNOWFLAKE_TARGET,Connection,2wfAlMwUnSfe4oYo8WbbAi
/Explore/Default/Informatica_Mappings,Conditions_taskflow,TASKFLOW,lUBVjHzJte1g8z8RlraJwO
